course_id,course_title,course_category,course_level,module_title,lesson_id,lesson_title,lesson_description,quiz_id,quiz_title,question_id,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,points,order_index
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,e3b11909-2e60-4ac3-bd93-6cb339ea6bc6,Why Python? Installing Python,Introduction to Python and setting up your development environment.,5aaef012-2e97-428f-8433-743e78150d8a,Why Python? Installing Python - Quiz,07013145-3689-49bd-917e-b998fff3c199,"What is the primary focus of ""Why Python? Installing Python"" in ""Getting Started with Python"" (Python for Everybody)?",Manual memory allocation in C,Photoshop layer management,Legal contract drafting,Introduction to Python and setting up your development environment.,Introduction to Python and setting up your development environment.,easy,1,0
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,e3b11909-2e60-4ac3-bd93-6cb339ea6bc6,Why Python? Installing Python,Introduction to Python and setting up your development environment.,5aaef012-2e97-428f-8433-743e78150d8a,Why Python? Installing Python - Quiz,72a8d284-a492-4e8a-bd7a-53f06d4e703c,"In the video for ""Why Python? Installing Python"", which concept is correctly associated with the lesson content?",The video claims Why Python? Installing Python is unrelated to Programming.,The lesson skips introduction to python and setting up your development environment entirely.,Understanding Introduction to Python and setting up your development environment — as explained in the lesson video for Why Python? Installing Python.,Using manual memory allocation in c is the main idea of Why Python? Installing Python.,Understanding Introduction to Python and setting up your development environment — as explained in the lesson video for Why Python? Installing Python.,easy,1,1
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,e3b11909-2e60-4ac3-bd93-6cb339ea6bc6,Why Python? Installing Python,Introduction to Python and setting up your development environment.,5aaef012-2e97-428f-8433-743e78150d8a,Why Python? Installing Python - Quiz,27fa5b8c-9cb8-4dd9-958c-caf7b83de3ea,"Which task best reflects what you practice in ""Why Python? Installing Python"" (30 min lesson)?",Copying code without understanding introduction to python and setting up your development environment.,Apply introduction to python and setting up your development environment to solve a hands-on exercise from Getting Started with Python (covered in 30 min).,Memorizing Why Python? Installing Python without practicing the video demo.,Only reading slides and ignoring the 30 min walkthrough.,Apply introduction to python and setting up your development environment to solve a hands-on exercise from Getting Started with Python (covered in 30 min).,easy,1,2
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,e3b11909-2e60-4ac3-bd93-6cb339ea6bc6,Why Python? Installing Python,Introduction to Python and setting up your development environment.,5aaef012-2e97-428f-8433-743e78150d8a,Why Python? Installing Python - Quiz,de3f71f9-6542-45aa-9983-319e3ff4c284,"Which statement correctly describes ""Why Python? Installing Python"" as taught in Python for Everybody (beginner)?",This beginner-level lesson in Programming explains introduction to python and setting up your development environment with examples shown in the video.,The video states Why Python? Installing Python has no relation to Getting Started with Python.,This lesson is optional and never assessed in Python for Everybody.,Why Python? Installing Python contradicts all principles of Programming.,This beginner-level lesson in Programming explains introduction to python and setting up your development environment with examples shown in the video.,easy,1,3
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,e3b11909-2e60-4ac3-bd93-6cb339ea6bc6,Why Python? Installing Python,Introduction to Python and setting up your development environment.,5aaef012-2e97-428f-8433-743e78150d8a,Why Python? Installing Python - Quiz,62ca7e8a-abcb-4a27-90c2-d0fd5112c94a,"What common mistake should you avoid when working with concepts from ""Why Python? Installing Python""?",Skipping video timestamps and guessing answers randomly.,Assuming Why Python? Installing Python is identical to manual memory allocation in c.,Rushing through without noting the key steps shown at 15:00.,Confusing why python? installing python with unrelated programming concepts not covered in this video.,Confusing why python? installing python with unrelated programming concepts not covered in this video.,easy,1,4
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,a2a08201-3633-4b93-8a64-d2e07a4f7d9a,Variables and Data Types,"Understanding strings, numbers, booleans, and type conversion.",c55093b1-a6c0-4def-9e0f-ad3af6627543,Variables and Data Types - Quiz,90d3bcf6-93b0-4d3e-9b4e-a9faa9b22734,"What is the primary focus of ""Variables and Data Types"" in ""Getting Started with Python"" (Python for Everybody)?",Legal contract drafting,"Understanding strings, numbers, booleans, and type conversion.",Manual memory allocation in C,Photoshop layer management,"Understanding strings, numbers, booleans, and type conversion.",easy,1,0
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,a2a08201-3633-4b93-8a64-d2e07a4f7d9a,Variables and Data Types,"Understanding strings, numbers, booleans, and type conversion.",c55093b1-a6c0-4def-9e0f-ad3af6627543,Variables and Data Types - Quiz,eb071ee0-adf1-4fd7-83b1-9960a9bc2f7e,"In the video for ""Variables and Data Types"", which concept is correctly associated with the lesson content?",Understanding Understanding strings — as explained in the lesson video for Variables and Data Types.,Using manual memory allocation in c is the main idea of Variables and Data Types.,The video claims Variables and Data Types is unrelated to Programming.,The lesson skips understanding strings entirely.,Understanding Understanding strings — as explained in the lesson video for Variables and Data Types.,easy,1,1
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,a2a08201-3633-4b93-8a64-d2e07a4f7d9a,Variables and Data Types,"Understanding strings, numbers, booleans, and type conversion.",c55093b1-a6c0-4def-9e0f-ad3af6627543,Variables and Data Types - Quiz,303194bc-6b0c-4d6c-bfae-1ed3802420ef,"Which task best reflects what you practice in ""Variables and Data Types"" (30 min lesson)?",Memorizing Variables and Data Types without practicing the video demo.,Only reading slides and ignoring the 30 min walkthrough.,Copying code without understanding understanding strings.,Apply understanding strings to solve a hands-on exercise from Getting Started with Python (covered in 30 min).,Apply understanding strings to solve a hands-on exercise from Getting Started with Python (covered in 30 min).,easy,1,2
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,a2a08201-3633-4b93-8a64-d2e07a4f7d9a,Variables and Data Types,"Understanding strings, numbers, booleans, and type conversion.",c55093b1-a6c0-4def-9e0f-ad3af6627543,Variables and Data Types - Quiz,eaa9a8f8-6532-4db9-b98a-4f80b52de497,"Which statement correctly describes ""Variables and Data Types"" as taught in Python for Everybody (beginner)?",This lesson is optional and never assessed in Python for Everybody.,Variables and Data Types contradicts all principles of Programming.,This beginner-level lesson in Programming explains understanding strings with examples shown in the video.,The video states Variables and Data Types has no relation to Getting Started with Python.,This beginner-level lesson in Programming explains understanding strings with examples shown in the video.,easy,1,3
3aa805fc-4d61-44cc-915e-7cee49c50feb,Python for Everybody,Programming,beginner,Getting Started with Python,a2a08201-3633-4b93-8a64-d2e07a4f7d9a,Variables and Data Types,"Understanding strings, numbers, booleans, and type conversion.",c55093b1-a6c0-4def-9e0f-ad3af6627543,Variables and Data Types - Quiz,e68b52ed-3cdf-43a8-ac52-c4b3c4bf2851,"What common mistake should you avoid when working with concepts from ""Variables and Data Types""?",Rushing through without noting the key steps shown at 15:00.,Confusing variables and data types with unrelated programming concepts not covered in this video.,Skipping video timestamps and guessing answers randomly.,Assuming Variables and Data Types is identical to manual memory allocation in c.,Confusing variables and data types with unrelated programming concepts not covered in this video.,easy,1,4
